problem_size,total_time,write_time,tree_construction_time,acceleration_calc_time,integration_time
27136,114,0,31,0,0,114
27264,118,3,31,0,0,118
27392,116,0,31,0,0,116
27520,116,0,31,0,0,116
27648,117,0,31,0,0,117
27776,116,0,31,0,0,116
27904,117,0,31,0,0,117
28032,122,0,31,0,0,122
28160,121,3,31,0,0,121
28288,123,6,31,0,0,123
28416,119,1,31,0,0,119
28544,122,0,31,0,0,122
28672,121,0,31,0,0,121
28800,121,0,31,0,0,121
28928,123,0,31,0,0,123
29056,121,0,31,0,0,121
29184,123,0,31,0,0,123
29312,123,0,31,0,0,123
29440,126,0,31,0,0,126
29568,129,6,31,0,0,129
29696,126,2,31,0,0,126
29824,124,0,31,0,0,124
29952,125,0,31,0,0,125
30080,129,1,31,0,0,129
30208,130,0,31,0,0,130
30336,131,0,31,0,0,131
30464,128,3,31,0,0,128
30592,130,0,31,0,0,130
30720,129,0,31,0,0,129
30848,125,2,31,0,0,125
30976,128,0,31,0,0,128
31104,131,0,31,0,0,131
31232,131,1,31,0,0,131
31360,134,3,31,0,0,134
31488,132,0,31,0,0,132
31616,134,0,32,0,0,134
31744,133,0,32,0,0,133
31872,135,0,32,0,0,135
32000,134,3,32,0,0,134
32128,135,1,31,0,0,135
32256,137,1,32,0,0,137
32384,134,1,31,0,0,134
32512,137,0,33,0,0,137
32640,138,5,31,0,0,138
32768,132,0,31,0,0,132
32896,131,0,32,0,0,131
33024,141,7,32,0,0,141
33152,134,0,31,0,0,134
33280,142,3,33,0,0,142
33408,146,7,39,0,0,146
33536,145,5,40,0,0,145
33664,141,0,34,0,0,141
33792,142,1,39,0,0,142
33920,136,0,38,0,0,136
34048,149,8,40,0,0,149
34176,144,0,40,0,0,144
34304,141,0,38,0,0,141
34432,145,0,40,0,0,145
34560,147,2,40,0,0,147
34688,148,3,39,0,0,148
34816,150,4,40,0,0,150
34944,145,1,41,0,0,145
35072,157,9,40,0,0,157
35200,148,1,40,0,0,148
35328,148,0,41,0,0,148
35456,155,6,41,0,0,155
35584,151,0,41,0,0,151
35712,153,0,41,0,0,153
35840,157,13,41,0,0,157
35968,155,0,41,0,0,155
36096,212,23,47,0,0,212
36224,154,1,41,0,0,154
36352,157,0,41,0,0,157
36480,157,0,41,0,0,157
36608,151,0,41,0,0,151
36736,158,1,41,0,0,158
36864,159,0,41,0,0,159
36992,157,0,41,0,0,157
37120,154,0,41,0,0,154
37248,158,1,41,0,0,158
37376,156,1,41,0,0,156
37504,160,1,41,0,0,160
37632,161,6,41,0,0,161
37760,160,1,41,0,0,160
37888,165,7,41,0,0,165
38016,173,10,41,0,0,173
38144,160,2,41,0,0,160
38272,165,2,41,0,0,165
38400,165,1,41,0,0,165
38528,166,3,41,0,0,166
38656,162,2,41,0,0,162
38784,170,0,41,0,0,170
38912,168,2,41,0,0,168
39040,168,3,41,0,0,168
39168,170,7,41,0,0,170
39296,164,2,41,0,0,164
39424,171,1,41,0,0,171
39552,171,1,41,0,0,171
39680,170,3,41,0,0,170
39808,167,2,42,0,0,167
39936,199,1,41,0,0,199
40064,172,1,42,0,0,172
40192,176,7,42,0,0,176
40320,169,0,41,0,0,169
40448,165,2,41,0,0,165
40576,178,3,41,0,0,178
40704,176,4,46,0,0,176
40832,180,9,48,0,0,180
40960,169,1,47,0,0,169
41088,193,3,49,0,0,193
41216,182,9,50,0,0,182
41344,177,1,49,0,0,177
41472,176,1,49,0,0,176
41600,175,0,43,0,0,175
41728,179,2,48,0,0,179
41856,177,3,49,0,0,177
41984,182,4,50,0,0,182
42112,173,9,49,0,0,173
42240,179,1,50,0,0,179
42368,182,3,49,0,0,182
42496,176,1,49,0,0,176
42624,180,7,50,0,0,180
42752,180,1,50,0,0,180
42880,179,1,50,0,0,179
43008,185,7,50,0,0,185
43136,189,3,50,0,0,189
43264,181,6,50,0,0,181
43392,183,1,50,0,0,183
43520,187,8,51,0,0,187
43648,189,10,50,0,0,189
43776,190,2,51,0,0,190
43904,190,10,50,0,0,190
44032,195,1,51,0,0,195
44160,187,4,51,0,0,187
44288,189,8,51,0,0,189
44416,188,4,51,0,0,188
44544,194,12,51,0,0,194
44672,194,9,51,0,0,194
44800,192,5,51,0,0,192
