problem_size,total_time,write_time,tree_construction_time,acceleration_calc_time,integration_time
128,13,0,0,0,0,13
256,6,0,0,0,0,6
384,6,0,0,0,0,6
512,8,0,0,0,0,8
640,7,0,0,0,0,7
768,8,0,0,0,0,8
896,11,0,0,0,0,11
1024,10,0,0,0,0,10
1152,11,0,0,0,0,11
1280,12,0,0,0,0,12
1408,11,0,0,0,0,11
1536,13,0,0,0,0,13
1664,13,0,0,0,0,13
1792,13,0,0,0,0,13
1920,15,0,0,0,0,15
2048,13,0,0,0,0,13
2176,15,0,0,0,0,15
2304,17,0,0,0,0,17
2432,16,0,0,0,0,16
2560,15,0,0,0,0,15
2688,18,0,0,0,0,18
2816,20,0,0,0,0,20
2944,20,0,0,0,0,20
3072,21,0,0,0,0,21
3200,22,0,0,0,0,22
3328,22,0,0,0,0,22
3456,21,0,0,0,0,21
3584,24,0,0,0,0,24
3712,32,0,0,0,0,32
3840,27,0,0,0,0,27
3968,26,0,0,0,0,26
4096,28,0,0,0,0,28
4224,27,0,0,0,0,27
4352,29,0,0,0,0,29
4480,29,0,0,0,0,29
4608,30,0,0,0,0,30
4736,30,0,0,0,0,30
4864,34,0,0,0,0,34
4992,33,0,1,0,0,33
5120,34,0,1,0,0,34
5248,35,0,1,0,0,35
5376,36,0,2,0,0,36
5504,34,0,10,0,0,34
5632,40,0,10,0,0,40
5760,40,0,10,0,0,40
5888,40,0,10,0,0,40
6016,41,0,10,0,0,41
6144,39,0,10,0,0,39
6272,43,0,10,0,0,43
6400,43,0,10,0,0,43
6528,42,0,10,0,0,42
6656,45,0,10,0,0,45
6784,48,0,10,0,0,48
6912,49,0,10,0,0,49
7040,46,0,10,0,0,46
7168,48,0,10,0,0,48
7296,50,0,10,0,0,50
7424,50,0,10,0,0,50
7552,50,0,11,0,0,50
7680,50,0,10,0,0,50
7808,52,0,10,0,0,52
7936,54,0,10,0,0,54
8064,54,0,10,0,0,54
8192,52,0,10,0,0,52
8320,55,0,10,0,0,55
8448,57,0,10,0,0,57
8576,59,0,10,0,0,59
8704,59,0,10,0,0,59
8832,59,0,11,0,0,59
8960,60,0,10,0,0,60
9088,62,0,10,0,0,62
9216,57,0,10,0,0,57
9344,76,0,10,0,0,76
9472,64,0,10,0,0,64
9600,66,0,10,0,0,66
9728,63,0,10,0,0,63
9856,67,0,10,0,0,67
9984,67,0,10,0,0,67
10112,64,1,11,0,0,64
10240,68,0,11,0,0,68
10368,70,0,11,0,0,70
10496,69,0,11,0,0,69
10624,67,0,11,0,0,67
10752,73,0,11,0,0,73
10880,73,0,11,0,0,73
11008,77,0,13,0,0,77
11136,74,0,14,0,0,74
11264,77,0,12,0,0,77
11392,76,0,16,0,0,76
11520,74,0,18,0,0,74
11648,80,0,18,0,0,80
11776,74,0,18,0,0,74
11904,76,1,18,0,0,76
12032,82,0,19,0,0,82
12160,81,0,20,0,0,81
12288,80,0,20,0,0,80
12416,83,0,20,0,0,83
12544,87,0,20,0,0,87
12672,84,0,20,0,0,84
12800,86,0,20,0,0,86
12928,88,0,20,0,0,88
13056,86,1,20,0,0,86
13184,91,0,20,0,0,91
13312,85,0,20,0,0,85
13440,87,0,20,0,0,87
13568,151,0,65,0,0,151
13696,89,0,20,0,0,89
13824,90,0,20,0,0,90
13952,96,0,20,0,0,96
14080,94,0,20,0,0,94
14208,98,0,20,0,0,98
14336,98,0,20,0,0,98
14464,97,0,20,0,0,97
14592,101,0,20,0,0,101
14720,97,0,20,0,0,97
14848,104,0,20,0,0,104
14976,103,0,21,0,0,103
15104,100,0,21,0,0,100
15232,105,0,21,0,0,105
15360,101,0,21,0,0,101
15488,105,0,21,0,0,105
15616,108,0,21,0,0,108
15744,106,0,22,0,0,106
15872,112,0,21,0,0,112
16000,109,0,21,0,0,109
16128,105,0,21,0,0,105
16256,110,0,21,0,0,110
16384,110,0,21,0,0,110
16512,110,0,24,0,0,110
16640,115,2,27,0,0,115
16768,119,0,28,0,0,119
16896,116,0,28,0,0,116
17024,124,0,28,0,0,124
17152,118,0,29,0,0,118
17280,120,0,30,0,0,120
17408,120,0,29,0,0,120
17536,122,2,30,0,0,122
17664,127,0,30,0,0,127
17792,128,0,30,0,0,128
17920,123,0,30,0,0,123
18048,126,0,30,0,0,126
18176,125,0,30,0,0,125
18304,128,0,30,0,0,128
18432,125,0,30,0,0,125
18560,130,3,30,0,0,130
18688,130,0,30,0,0,130
18816,133,0,30,0,0,133
18944,135,0,30,0,0,135
19072,133,0,30,0,0,133
19200,134,0,30,0,0,134
19328,139,0,30,0,0,139
19456,133,0,30,0,0,133
19584,140,1,31,0,0,140
19712,136,0,31,0,0,136
19840,140,0,31,0,0,140
19968,144,0,31,0,0,144
20096,143,1,32,0,0,143
20224,147,0,33,0,0,147
20352,143,0,32,0,0,143
20480,143,0,38,0,0,143
