problem_size,total_time,write_time,tree_construction_time,acceleration_calc_time,integration_time
128,13,0,0,0,0,13
256,7,0,0,0,0,7
384,7,0,0,0,0,7
512,7,0,0,0,0,7
640,9,0,0,0,0,9
768,9,0,0,0,0,9
896,8,0,0,0,0,8
1024,9,0,0,0,0,9
1152,16,0,0,0,0,16
1280,9,0,0,0,0,9
1408,9,0,0,0,0,9
1536,39,0,0,0,0,39
1664,10,0,0,0,0,10
1792,11,0,0,0,0,11
1920,10,0,0,0,0,10
2048,11,0,0,0,0,11
2176,32,0,0,0,0,32
2304,12,0,0,0,0,12
2432,13,0,0,0,0,13
2560,48,0,0,0,0,48
2688,14,0,0,0,0,14
2816,14,0,0,0,0,14
2944,15,0,0,0,0,15
3072,15,0,0,0,0,15
3200,16,0,0,0,0,16
3328,15,0,0,0,0,15
3456,15,0,0,0,0,15
3584,22,0,0,0,0,22
3712,32,0,0,0,0,32
3840,31,0,0,0,0,31
3968,59,0,0,0,0,59
4096,24,0,0,0,0,24
4224,58,0,0,0,0,58
4352,45,0,0,0,0,45
4480,38,0,0,0,0,38
4608,21,0,0,0,0,21
4736,34,0,0,0,0,34
4864,40,0,0,0,0,40
4992,22,0,0,0,0,22
5120,40,0,0,0,0,40
5248,38,0,0,0,0,38
5376,76,9,10,0,0,76
5504,62,0,3,0,0,62
5632,35,0,1,0,0,35
5760,27,0,1,0,0,27
5888,47,0,1,0,0,47
6016,27,0,1,0,0,27
6144,39,0,1,0,0,39
6272,51,0,1,0,0,51
6400,31,0,1,0,0,31
6528,55,0,1,0,0,55
6656,29,0,1,0,0,29
6784,96,9,10,0,0,96
6912,69,0,11,0,0,69
7040,43,1,10,0,0,43
7168,50,0,10,0,0,50
7296,107,9,10,0,0,107
7424,58,0,10,0,0,58
7552,68,0,8,0,0,68
7680,62,0,9,0,0,62
7808,35,0,9,0,0,35
7936,70,0,10,0,0,70
8064,61,0,10,0,0,61
8192,68,0,10,0,0,68
8320,57,0,10,0,0,57
8448,50,0,10,0,0,50
8576,47,0,10,0,0,47
8704,74,9,10,0,0,74
8832,44,0,10,0,0,44
8960,51,0,10,0,0,51
9088,54,0,10,0,0,54
9216,58,0,10,0,0,58
9344,47,0,10,0,0,47
9472,49,0,10,0,0,49
9600,59,0,10,0,0,59
9728,71,0,10,0,0,71
9856,54,0,10,0,0,54
9984,47,0,10,0,0,47
10112,69,0,10,0,0,69
10240,73,0,10,0,0,73
10368,88,9,11,0,0,88
10496,48,0,10,0,0,48
10624,117,0,15,0,0,117
10752,62,0,10,0,0,62
10880,58,0,10,0,0,58
11008,94,0,10,0,0,94
11136,85,0,10,0,0,85
11264,49,0,10,0,0,49
11392,76,0,10,0,0,76
11520,106,19,16,0,0,106
