total_energy, kinetic_energy, potential_energy
-34429.7,19054.9,-53484.7
-34556.9,19270.9,-53827.8
-34559.7,19476.1,-54035.8
-34568.7,19653.5,-54222.2
-34622.1,19821.5,-54443.6
-34541.6,19994.6,-54536.2
-34549,20111.8,-54660.9
-34575,20214.1,-54789.2
-34812.6,20344.6,-55157.2
-34882.6,20486.1,-55368.7
-34793.7,20636,-55429.7
-34606.3,20756.1,-55362.4
-34706.9,20860,-55566.9
-34739.7,20925.3,-55665
-34840.9,20954.3,-55795.2
-34759.5,20922.5,-55682
-34477.6,20781.3,-55258.8
-34410.2,20571.7,-54981.9
-34352.2,20367.1,-54719.3
-34384.7,20181,-54565.8
-34398.2,20058.2,-54456.4
-34286.7,19966.7,-54253.3
-34333.7,19887.4,-54221.1
-34190.4,19783,-53973.4
-34117.6,19644.5,-53762.1
-34046.2,19532.1,-53578.3
-34029.7,19456,-53485.7
-34023.5,19428.2,-53451.8
-34055.8,19445.3,-53501.1
-34127.9,19492.6,-53620.5
-34111.3,19549.9,-53661.2
-34117,19649.5,-53766.5
-34274.6,19812.7,-54087.4
-34412.5,20005.4,-54417.9
-34542.1,20215.4,-54757.5
-34550.9,20374.2,-54925.1
-34571,20461.9,-55032.9
-34408.6,20455.8,-54864.4
-34393.9,20376.4,-54770.3
-34367.5,20263.8,-54631.3
-34316.1,20151.5,-54467.6
-34232.1,20064.3,-54296.4
-34325.9,20011.7,-54337.6
-34323.4,19998.8,-54322.3
-34309,19973.4,-54282.4
-34220.5,19975,-54195.5
-34238.2,20010.4,-54248.6
-34247.6,20059,-54306.6
-34279.5,20123,-54402.5
-34248.1,20203.7,-54451.7
-34332.8,20306,-54638.7
-34387.4,20474.9,-54862.3
-34519.2,20679.6,-55198.8
-34500.6,20901,-55401.6
-34636.3,21131.6,-55768
-34683.9,21337,-56020.9
-34658.1,21497.4,-56155.5
-34636.1,21608.5,-56244.6
-34593.5,21621.5,-56214.9
-34391.9,21542.4,-55934.3
-34237.4,21399.5,-55636.9
-34139,21255.2,-55394.2
-34144.5,21138.4,-55283
-34104.2,21052.3,-55156.4
-34217.1,20999,-55216.1
-34166.6,21017.7,-55184.2
-34125.8,21070.2,-55196
-34204.4,21157.3,-55361.7
-34398.8,21255.6,-55654.4
-34451.8,21357.8,-55809.6
-34366.2,21372.9,-55739.1
-34312.7,21326.9,-55639.7
-34330.3,21281.3,-55611.7
-34222.3,21232.4,-55454.8
-34270.6,21160.9,-55431.5
-34246.9,21050.6,-55297.5
-34155.5,20919.4,-55074.9
-34097.1,20742.3,-54839.3
-34003.2,20549.7,-54552.9
-33986.6,20344.3,-54330.8
-33913.6,20156.8,-54070.4
-33968,20039.7,-54007.7
-34042.4,19996.1,-54038.5
-34038.7,20005.4,-54044.2
-34089,20034.8,-54123.9
-34120.7,20128.2,-54248.9
-34130.2,20234.3,-54364.5
-34147.8,20359.7,-54507.5
-34323.4,20503.1,-54826.5
-34426.5,20681.4,-55107.9
-34598,20899.4,-55497.3
-34719.9,21096.3,-55816.2
-34750.1,21236.1,-55986.2
-34643.5,21321.6,-55965.1
-34595.8,21365.8,-55961.6
-34660.2,21381.9,-56042
