total_energy, kinetic_energy, potential_energy
-31415.9,20245.4,-51661.4
-31337.5,20168.5,-51506
-31329.7,20098.3,-51428.1
-31314.1,20010.4,-51324.5
-31370.8,19916.9,-51287.7
-31405.5,19817.2,-51222.8
-31298,19671.3,-50969.3
-31105,19488.7,-50593.7
-30918.2,19281.2,-50199.4
-30768.3,19073.1,-49841.4
-30675.3,18907.9,-49583.2
-30661.7,18787.5,-49449.2
-30734.7,18727.3,-49462
-30786.6,18734.6,-49521.3
-30745.5,18792.9,-49538.4
-30800.9,18864,-49664.9
-30785.4,18933,-49718.4
-30795.7,18965.7,-49761.4
-30812.3,18988.9,-49801.2
-30783.6,19024.1,-49807.6
-30794.7,19066.4,-49861.1
-30775.9,19142.7,-49918.6
-30799.6,19242.2,-50041.7
-30855.3,19353.6,-50208.9
-30904.1,19496.7,-50400.7
-30928.6,19658.5,-50587.1
-30947.8,19849,-50796.8
-31124.5,20051.4,-51175.9
-31115.8,20263.7,-51379.6
-31132.9,20463.6,-51596.4
-31124.5,20671.7,-51796.2
-31168.9,20872.1,-52041
-31225.5,21064.6,-52290
-31227.7,21264.8,-52492.6
-31219,21439.2,-52658.2
-31220.3,21587.3,-52807.5
-31262.1,21764.5,-53026.6
-31184.8,21940.3,-53125.1
-31252.3,22073.6,-53325.9
-31174.7,22173.3,-53348
-31126.1,22249.5,-53375.7
-31114.8,22335.2,-53450
-31044.7,22410,-53454.7
-31071,22471.8,-53542.8
-31148.4,22544.6,-53692.9
-31076.8,22641.7,-53718.5
-31124.1,22775.9,-53900
-31092.4,22961,-54053.4
-31224.7,23192.6,-54417.2
-31273.9,23490.1,-54764
-31383.5,23837.8,-55221.2
-31517.1,24264.3,-55781.4
-31730.2,24761.8,-56492
-31872.7,25348,-57220.7
-32043.3,25995.9,-58039.2
-32343.1,26683.5,-59026.6
-32597.5,27433.2,-60030.7
-32813.5,28161.8,-60975.3
-32920.7,28748.7,-61669.5
-32749.2,29102.4,-61851.6
-32422,29155.2,-61577.1
-32071.8,28972.4,-61044.2
-31874,28662.4,-60536.3
-31855.4,28277.6,-60132.9
-31730.2,27915.8,-59646
-31785.4,27583.9,-59369.3
-31800.9,27285.2,-59086.2
-31782.6,26985.6,-58768.2
-31609.8,26668,-58277.9
-31409.9,26303.2,-57713.1
-31304.2,25908.8,-57213
-31326.5,25515.7,-56842.3
-31134.7,25134.7,-56269.4
-31065.4,24754.7,-55820.1
-30942.4,24406.7,-55349
-30886.9,24086,-54972.9
-30844.2,23825.7,-54669.9
-30882,23634.1,-54516
-30853.1,23485.9,-54339
-30883.4,23338.2,-54221.7
-30834.2,23241.1,-54075.3
-30928.2,23198.4,-54126.7
-31042.1,23172.6,-54214.7
-31033.9,23147.8,-54181.7
-31001.8,23110.8,-54112.6
-30908.2,23037.2,-53945.4
-30933.4,22924.3,-53857.6
-30950.7,22803.9,-53754.6
-30998.2,22700.3,-53698.5
-31017.7,22616.9,-53634.6
-31250.3,22531.7,-53782.1
-31315.8,22462.5,-53778.3
-31261.5,22356.5,-53618
-31218.1,22202.9,-53421.1
-31131.1,21960.3,-53091.4
-30895.6,21625.9,-52521.5
-30663.4,21238.7,-51902.1
-30460.9,20857.7,-51318.6
-30292.5,20475.4,-50767.8
-30177.7,20117.3,-50294.9
-30120.7,19766.9,-49887.6
-30077.2,19438.1,-49515.3
-30048,19164.6,-49212.6
-30003.5,18911.9,-48915.4
-30029.5,18700,-48729.5
-30017.1,18517.7,-48534.8
-29918.8,18364.6,-48283.4
-29932,18260.8,-48192.8
-29975.5,18214.8,-48190.3
-30004.8,18208.3,-48213.1
-30082.9,18281.2,-48364.1
-30240,18411.7,-48651.6
-30415.3,18559.4,-48974.7
-30447.8,18709.9,-49157.7
-30521.6,18851.1,-49372.7
-30558.9,18981.4,-49540.3
-30569.8,19108,-49677.8
-30630.1,19235.4,-49865.4
-30693.4,19379.5,-50073
-30758.7,19531.6,-50290.3
-30789.9,19683.5,-50473.4
-30790.4,19789.7,-50580.1
-30703.4,19846.3,-50549.7
-30673.5,19838.2,-50511.8
-30580.8,19810.4,-50391.1
-30549.8,19790.3,-50340.1
-30554.7,19804.4,-50359.1
-30608.5,19859.1,-50467.5
-30640.9,19953.3,-50594.2
-30700.7,20100.8,-50801.5
-30847.2,20231.9,-51079.1
-30850.8,20355.8,-51206.6
-30868.5,20446.7,-51315.2
-30815.1,20489.8,-51304.9
-30789,20483.9,-51273
-30713.4,20506,-51219.4
-30743.4,20514.5,-51257.9
-30703.7,20525.6,-51229.3
-30790.8,20520.9,-51311.8
-30813,20496.3,-51309.3
-30811.6,20442.6,-51254.2
-30747,20336,-51083
-30615,20163.7,-50778.7
-30451.8,20013.3,-50465.1
-30434.1,19884.8,-50318.9
-30448.6,19784.8,-50233.4
-30373.1,19700.2,-50073.3
-30420.2,19649.3,-50069.5
-30608.9,19635.4,-50244.2
-30652.3,19660.3,-50312.6
